94*Stephen Curry*1
93*Kyrie Irving*1
92*Russell Westbrook*1
90*Chris Paul*1
89*John Wall*1
89*Isaiah Thomas*1
89*Damian Lillard*1
86*Kemba Walker*1
86*Kyle Lowry*1
85*Mike Conley*1
84*Eric Bledsoe*1
82*Goran Dragic*1
83*DAngelo Russell*1
82*Dennis Schroder*1
81*Reggie Jackson*1
79*Jeff Teague*1
79*Jrue Holiday*1
79*Darren Collison*1
79*Jamal Murray*1
78*Ricky Rubio*1
78*Patrick Beverley*1
78*Spencer Dinwiddie*1
78*Jeremy Lin*1
78*Jordan Clarkson*1
78*Tony Parker*1
77*Kris Dunn*1
77*Elfrid Payton*1
77*Rajon Rondo*1
77*Malcolm Brogdon*1
77*Shabazz Napier*1
77*George Hill*1
77*Derrick Rose*1
77*Markelle Fultz*1
76*Milos Teodosic*1
76*J.J. Barea*1
76*Dennis Smith*1
76*Ish Smith*1
76*Lonzo Ball*1
76*Patty Mills*1
75*DeAaron Fox*1
75*T.J. McConnell*1
75*Cory Joseph*1
75*Shaun Livingston*1
75*Raymond Felton*1
75*D.J. Augustin*1
75*Ty Lawson*1
75*Tomas Satoransky*1
75*Jerian Grant*1
74*Emmanuel Mudiay*1
74*Terry Rozier*1
74*Tyler Ulis*1
74*Devin Harris*1
74*Brandon Knight*1
74*Frank Ntilikina*1
74*Dejounte Murray*1
74*Jose Calderon*1
73*Yogi Ferrell*1
73*Shelvin Mack*1
73*Matthew Dellavedova*1
73*Aaron Brooks*1
73*Andrew Harrison*1
73*Jarrett Jack*1
73*Dante Exum*1
73*Tyus Jones*1
73*Trey Burke*1
72*Ramon Sessions*1
72*Tim Frazier*1
72*Delon Wright*1
72*Jameer Nelson*1
72*Malcolm Delaney*1
72*Joe Young*1
72*Tyler Ennis*1
72*Mario Chalmers*1
72*Raul Neto*1
71*Isaiah Taylor*1
71*Jerryd Bayless*1
71*Isaiah Whitehead*1
70*Shane Larkin*1
71*Cameron Payne*1
70*Michael Carter-Williams*1
71*Fred VanVleet*1
70*Bobby Brown*1
70*Frank Jackson*1
70*Julyan Stone*1
70*Jason Terry*1
70*Briante Weber*1
71*Frank Mason*1
70*Derrick White*1
69*Quinn Cook*1
69*Shaquille Harrison*1
69*Wade Baldwin*1
69*Naz Mitrou-Long*1
70*Jawun Evans*1
68*Alex Caruso*1
67*David Stockton*1
67*Xavier Rathan-Mayes*1
68*Demetrius Jackson*1
68*Monte Morris*1
67*Ryan Arcidiacono*1
67*Marquis Teague*1
67*Walt Lemon*1
67*Jacob Pullen*1
67*Josh Magette*1
67*Lorenzo Brown*1
67*Marcus Paige*1
